股票代碼,目前價格,平均持倉成本,獲利比例(%),90%成本低標,90%成本高標,90%集中度(%),70%成本低標,70%成本高標,70%集中度(%),區間重疊度(%)
8111,79.2,69.38,99.46,61.05,77.51,20.78,64.53,74.02,11.99,57.69
5222,144.5,139.97,69.63,117.07,162.64,31.54,130.06,151.62,14.92,47.31
2481,118.0,100.58,100.0,87.99,113.91,21.97,92.18,107.73,13.18,60.0
2474,217.0,202.05,93.5,184.37,219.27,16.08,189.13,212.92,10.96,68.18
6788,431.0,375.23,100.0,321.51,411.27,20.82,347.82,398.89,11.85,56.9
1815,127.0,114.41,100.0,100.59,124.32,18.69,107.65,120.93,10.45,55.95
4977,235.5,198.19,100.0,182.19,229.58,20.12,188.33,208.52,8.57,42.59
3388,99.3,72.8,100.0,62.31,95.61,33.53,69.31,77.29,8.03,23.96
