股票代碼,目前價格,平均持倉成本,獲利比例(%),90%成本低標,90%成本高標,90%集中度(%),70%成本低標,70%成本高標,70%集中度(%),區間重疊度(%)
4967,262.0,233.91,97.63,210.83,260.9,19.11,217.09,254.64,14.33,75.0
3324,1155.0,1018.37,99.08,916.34,1130.46,18.54,949.45,1079.69,11.28,60.82
1441,12.95,14.07,10.0,11.18,17.29,47.21,13.84,15.35,11.61,24.6
4931,159.5,146.22,97.24,133.9,158.89,15.67,137.41,155.38,11.27,71.93
1570,42.35,32.15,99.98,23.51,39.46,37.68,29.28,35.41,14.49,38.46
3162,76.3,62.39,100.0,54.15,70.09,20.89,56.91,67.7,14.15,67.72
