股票代碼,目前價格,平均持倉成本,獲利比例(%),90%成本低標,90%成本高標,90%集中度(%),70%成本低標,70%成本高標,70%集中度(%),區間重疊度(%)
8354,17.65,16.59,82.53,14.86,18.85,22.62,15.37,17.86,14.12,62.4
4749,984.0,890.64,96.31,780.36,981.07,20.4,831.78,951.21,12.14,59.5
1441,10.75,14.09,4.2,11.16,17.32,57.33,13.84,15.4,14.45,25.2
2464,86.9,74.17,99.98,64.72,84.4,22.66,68.34,79.84,13.23,58.4
6290,258.5,218.14,100.0,183.66,242.94,22.93,202.92,234.05,12.04,52.5
5498,75.6,66.26,99.99,55.99,73.34,22.95,60.97,71.62,14.09,61.39
6788,474.0,379.56,100.0,321.98,429.5,22.68,349.3,402.18,11.16,49.18
6921,94.8,66.99,99.95,59.67,80.67,22.15,61.04,70.91,10.41,47.0
8074,78.3,69.03,100.0,58.5,77.01,23.64,63.35,74.58,14.34,60.66
4722,198.0,180.4,88.47,160.15,206.9,23.61,166.23,195.22,14.64,62.0
6163,74.1,64.39,99.77,53.99,72.29,24.7,59.28,70.17,14.7,59.5
3035,174.5,166.66,84.82,147.41,181.87,19.74,153.82,176.26,12.86,65.12
6432,44.75,37.31,100.0,32.61,42.79,22.75,34.07,40.11,13.5,59.34
3430,94.1,77.7,100.0,65.26,88.56,24.76,70.65,84.63,14.86,60.0
5284,350.0,293.1,100.0,263.12,328.68,18.73,271.39,318.49,13.46,71.84
6643,556.0,476.71,99.38,416.26,532.62,20.93,442.12,506.76,11.63,55.56
