股票代碼,目前價格,平均持倉成本,獲利比例(%),90%成本低標,90%成本高標,90%集中度(%),70%成本低標,70%成本高標,70%集中度(%),區間重疊度(%)
8027,156.5,144.98,96.35,110.66,156.37,29.21,136.63,154.21,11.23,38.46
3035,185.0,170.61,98.14,149.82,184.27,18.62,157.83,181.07,12.56,67.44
8210,1210.0,926.35,100.0,633.28,1129.44,41.0,873.69,1029.7,12.89,31.44
