stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,SMA_20,EMA_26,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,signal_buy,signal_sell
2454,8993585,3679381954,405.0,412.0,403.0,410.0,10.0,5823,64.76744028762764,-3.7293887874578218,5.879249082246316,-9.608637869704138,390.42500000000007,398.036814131061,-1.0567233410097032,1.41053125515599,-2.4672545961656933,1,0
2454,6774725,2718607575,405.5,409.0,396.5,397.5,-12.5,4794,56.45289404994194,-3.1984594459962636,5.1281427389663,-8.326602184962564,389.35,397.9970501213528,-0.3286569214166607,1.710878139799226,-2.039535061215887,1,0
2454,3161817,1265169800,401.0,403.0,398.0,399.5,2.0,2554,57.3953126905054,-2.586495324383975,4.592085488462871,-7.178580812846846,388.79999999999995,398.10837974199336,0.17498241999049188,1.7716139849651031,-1.5966315649746112,1,0
2454,4852855,1942833000,399.5,403.0,399.5,400.0,0.5,2926,57.642111784803596,-2.0376744846662405,4.1127250625444844,-6.150399547210725,388.85,398.24849976110494,0.7139472953323693,1.8484630882455846,-1.1345157929132152,1,0
2454,9060437,3708076429,410.0,412.0,406.0,409.0,9.0,6085,61.91832552091196,-0.8665165676832203,4.227106383622004,-5.093622951305225,389.275,399.04490718620826,1.3316046120977885,1.9728963240088029,-0.6412917119110145,1,0
2454,11101774,4586647222,410.0,414.5,410.0,414.5,5.5,5017,64.29084374185742,0.4996785703255,4.47464121730458,-3.97496264697908,390.25,400.18972887611875,1.5677938493614731,1.7672684490179902,-0.199474599656517,1,0
2454,5005790,2059978400,418.0,418.0,407.0,410.0,-4.5,3938,60.94528879467624,1.2053906748015493,4.144282657424504,-2.9388919826229545,391.75,400.91641562603587,1.8580916105088354,1.646052968132282,0.21203864237655348,1,0
2454,5387990,2211419900,412.5,414.5,408.0,410.0,0.0,3436,60.94528879467623,1.744562372897576,3.7467634844164244,-2.0022011115188483,393.525,401.589273727811,2.371293580970993,1.7274039508755519,0.6438896300954414,1,0
2454,3685893,1515357777,411.0,415.5,409.5,410.0,0.0,2628,60.94528879467623,2.1471092888087355,3.319448320262067,-1.1723390314533315,395.525,402.2122904887139,2.7681379018198986,1.6993986173795657,1.068739284440333,1,0
2454,6034214,2444727622,410.0,410.0,403.0,403.0,-7.0,4177,55.34937121167527,1.8796220088096902,2.441568832210417,-0.5619468234007272,397.25,402.27063934140176,2.960863829579317,1.5136996361111872,1.4471641934681299,1,0
2454,5625960,2252140968,402.0,403.5,398.0,400.5,-2.5,3459,53.46138831864142,1.4492018092798276,1.6089189061444438,-0.15971709686461627,398.45000000000005,402.1394808716683,2.9820361231901655,1.2278975437776285,1.754138579412537,1,0
2454,3259803,1304662091,400.0,403.0,396.0,400.5,0.0,2435,53.46138831864141,1.0954628858956994,1.0041439862082526,0.09131889968744686,399.975,402.0180378441373,2.937298564312918,0.9465279879203046,1.9907705763926133,1,0
2454,3635199,1470168901,402.0,409.0,401.0,401.5,1.0,2949,54.18634106551618,0.8856051779919767,0.6354290226436239,0.25017615534835286,401.475,401.9796646704975,2.5421113331059066,0.44107260537063464,2.101038727735272,1,0
2454,4823210,1957159512,405.0,409.0,403.0,403.5,2.0,3358,55.673556363411066,0.8706385387170599,0.49636990669496556,0.3742686320220943,401.77500000000003,402.09228210231254,2.3794483049062864,0.22272766173681147,2.156720643169475,1,0
2454,4208503,1701889444,404.5,407.0,401.0,403.5,0.0,2802,55.67355636341105,0.8489907325761124,0.3797776804432144,0.46921305213289793,402.3,402.1965575021412,2.131163421486,-0.020445777346780325,2.15160919883278,1,0
2454,7337236,3033755184,406.5,418.0,404.5,416.0,12.5,5219,64.11695886407391,1.819506089786728,1.080234430123064,0.7392716596636639,403.6,403.21903472420485,1.9976536007585506,-0.12316447845938372,2.1208180792179343,1,0
2454,5757976,2380090684,418.0,419.5,407.5,409.0,-7.0,4033,57.510421916437785,2.000741699113746,1.0091760315600657,0.9915656675536804,404.475,403.64725437426375,1.6790028517414735,-0.3534521819811687,2.032455033722642,1,0
2454,4689682,1936306484,411.5,416.5,411.0,412.5,3.5,3265,59.74392749915271,2.399137214123641,1.1260572372559685,1.2730799768676726,405.5,404.30301330950346,1.2238124870358609,-0.6469140373494251,1.870726524385286,1,0
